date,open,high,low,close,volume,vwap,ma14,ma30,ma50,ma200,rsi14,rsi30,rsi50,roc14,vol14
2024-12-11,90.44,90.74,89.96,90.4,11573751.0,90.3758,1.036662452591656,1.0312389380530973,1.0209513274336282,1.0107682522123893,36.773018419033576,46.3027080831188,48.68276225894434,-0.06165663275897859,0.009787630315399426
2024-12-12,90.24,90.4,89.58,89.67,10873147.0,89.8629,1.0391674234096449,1.0402401397717558,1.0290286606445855,1.0192171294747405,34.08077108727285,44.82321198472515,47.77186311098826,-0.07670922570016481,0.009119354558907226
2024-12-13,89.89,89.92,88.97,89.22,11173030.0,89.2877,1.0379639414609152,1.0457221848613913,1.0335238735709482,1.0245303743555259,32.50112981850393,43.92812951055208,47.21615178284377,-0.08275932970083266,0.00888704480710023
2024-12-16,88.97,88.97,87.19,87.26,12518076.0,87.8064,1.0546560361481288,1.068916647566659,1.0553816181526472,1.0475498510199404,26.69697097479414,40.301922009574085,44.89505596057793,-0.0848453067645516,0.009165551885701693
2024-12-17,86.6,86.77,85.8,86.61,16005837.0,86.265,1.0554703349992578,1.0757995612515876,1.0617088096062808,1.055434707308625,25.096333167185236,39.19201131826527,44.160428813337624,-0.09042218021424075,0.009058451247346532
2024-12-18,86.37,86.78,84.05,84.05,19620612.0,85.2361,1.0782102490014447,1.1061392028554433,1.092375966686496,1.0874146341463415,20.008275430985762,35.23811881603737,41.435579997175985,-0.11637931034482762,0.010737285680038653
2024-12-19,84.94,85.21,83.26,83.32,24994225.0,83.7175,1.077189493176051,1.1117338774203873,1.0999543927028326,1.0967138742198752,18.83557211338669,34.21973816429676,40.70475880230389,-0.12781325238145091,0.010062389594712902
2024-12-20,83.31,84.43,83.0902,84.14,17852405.0,83.9511,1.0578797242690752,1.0973377703826954,1.087309246493939,1.0858046113620154,24.209235521463498,36.35702183298991,41.879738036987135,-0.1098180279305967,0.011322220563361886
2024-12-23,83.31,84.21,82.75,83.93,17222682.0,83.613,1.0515225272761315,1.0961833273759878,1.0879137376385084,1.0882687954247587,23.77510796705984,36.046736518947505,41.663988159778725,-0.11194582583853563,0.011207992570616413
2024-12-24,84.17,84.8,83.6191,84.64,7512092.0,84.4205,1.0362965838509317,1.0831915563957153,1.076866729678639,1.0788775992438564,28.446950145608668,37.90037156595438,42.68268605527985,-0.0822942643391521,0.0110705387020282
2024-12-26,84.67,84.715,84.05,84.57,7693227.0,84.4485,1.0303805807530535,1.0804580032320368,1.0765259548303183,1.0795122383824054,28.26302783838456,37.78866312336317,42.60783262067587,-0.08661842531590891,0.010812304654917433
2024-12-27,84.5,85.48,84.135,84.56,10184850.0,84.6816,1.025045614272199,1.076663513087354,1.0753169347209082,1.079296948912015,28.234942979048085,37.77221031098278,42.59694296100879,-0.07097341243682698,0.010478567390563734
2024-12-30,84.57,85.03,83.85,84.55,11772651.0,84.5497,1.0198276590352287,1.072722255075892,1.0740035481963337,1.0790260201064459,28.20476010021673,37.755205229800865,42.58583679978317,-0.06954990645977777,0.010526244878595933
2024-12-31,84.75,85.9,84.575,85.66,10582535.0,85.5258,1.0027850972282446,1.055292240641295,1.0589936960074715,1.0646993929488677,36.33962923864365,40.814811760889214,44.232716713695794,-0.05085872576177286,0.011571344798482317
2025-01-02,86.36,87.295,86.075,86.66,17443535.0,86.6778,0.9881309551284166,1.0395261173936459,1.0459866143549506,1.0521549734594968,42.64470281659466,43.40733674481808,45.66546466508248,-0.041371681415929284,0.012216859463849749
2025-01-03,87.17,87.7631,86.82,87.47,11062034.0,87.4254,0.9771840141109607,1.0268854083304753,1.0356579398650967,1.042142448839602,47.20587332635869,45.410993759249244,46.7952594883886,-0.024534403925504655,0.012537058059549806
2025-01-06,87.87,88.57,86.845,87.07,11417644.0,87.655,0.9799094324763328,1.0280540561234257,1.0397863787756978,1.0466440794762835,45.290431834478674,44.60424615950248,46.31002956186725,-0.02409773593364728,0.012528549240738103
