date,open,high,low,close,volume,vwap
2024-02-22,180.24,182.4,179.92,182.11,4400030.0,181.3975
2024-02-23,181.4,182.21,181.0,181.29,3787998.0,181.5195
2024-02-26,181.82,182.73,181.57,181.85,3525830.0,182.0618
2024-02-27,182.67,183.3,181.77,182.45,2926185.0,182.5913
2024-02-28,182.15,184.04,182.05,183.17,3704394.0,183.2653
2024-02-29,183.82,184.835,182.88,184.41,4135234.0,184.0164
2024-03-01,184.25,185.29,183.31,185.02,5532908.0,184.7919
2024-03-04,184.11,184.73,182.47,182.52,5668406.0,183.2351
2024-03-05,181.35,181.68,179.63,180.25,6470916.0,180.3863
2024-03-06,180.96,181.44,179.1,179.61,4649856.0,179.9641
2024-03-07,180.1,181.72,180.06,180.98,3356670.0,181.018
2024-03-08,181.4,182.13,179.71,180.31,6231839.0,180.7919
2024-03-11,179.81,180.53,179.37,179.82,4153220.0,179.8936
2024-03-12,180.42,182.07,179.21,181.37,3953185.0,181.181
2024-03-13,180.92,182.13,180.705,180.99,2858546.0,181.3664
2024-03-14,181.2,181.38,178.87,179.84,5405213.0,179.7911
2024-03-15,178.63,179.84,177.565,178.05,4934419.0,178.3175
2024-03-18,179.45,179.87,178.2,179.02,4256457.0,179.1091
2024-03-19,178.98,180.66,178.73,180.57,3812089.0,179.9028
2024-03-20,180.92,183.29,180.77,183.26,4248732.0,182.0699
2024-03-21,184.54,185.22,184.24,184.33,3573188.0,184.6614
2024-03-22,182.41,183.205,182.03,182.72,2859501.0,182.6211
2024-03-25,182.01,183.06,182.01,182.12,2832342.0,182.4174
2024-03-26,183.29,184.05,182.225,182.35,2693922.0,183.2163
2024-03-27,183.77,184.48,182.87,184.46,2905974.0,183.665
2024-03-28,184.23,184.77,183.83,183.89,2979051.0,184.2424
2024-04-01,184.09,184.29,181.85,182.52,4970855.0,182.5191
2024-04-02,179.58,179.92,179.02,179.83,6135372.0,179.5877
2024-04-03,178.82,180.59,178.82,179.96,5082613.0,179.9669
2024-04-04,181.32,181.995,177.825,177.85,4825278.0,179.4813
2024-04-05,178.44,180.0,178.07,178.84,5040947.0,178.9835
2024-04-08,179.9,181.13,179.76,180.54,4147854.0,180.6016
2024-04-09,181.43,181.49,179.88,181.39,4281139.0,180.7019
2024-04-10,178.44,179.32,177.76,178.59,5402980.0,178.5447
2024-04-11,179.2,180.675,177.7,180.03,4216774.0,179.4388
2024-04-12,178.63,178.75,176.53,177.11,5364665.0,177.3142
2024-04-15,178.4,178.53,173.995,174.16,5568381.0,175.5569
2024-04-16,173.26,174.14,172.35,173.17,6435417.0,173.2057
2024-04-17,174.01,174.185,171.62,172.33,6208417.0,172.646
2024-04-18,172.65,173.3633,170.79,171.26,4705903.0,171.8344
2024-04-19,171.26,171.65,169.085,169.76,6790387.0,170.0977
2024-04-22,170.12,171.37,168.9,170.51,4475208.0,170.2513
2024-04-23,171.48,173.04,170.63,172.54,3944713.0,172.2419
2024-04-24,175.12,175.63,172.94,174.19,4474315.0,174.2485
2024-04-25,171.55,174.71,170.825,174.34,5350771.0,173.0783
2024-04-26,174.94,177.1,174.69,175.91,3332873.0,176.0765
2024-04-29,179.53,180.28,178.24,180.0,5154211.0,179.5351
2024-04-30,178.24,179.08,175.48,175.62,3609287.0,177.0536
2024-05-01,175.71,177.94,173.63,174.52,7168374.0,175.3134
2024-05-02,176.16,177.06,174.42,176.72,4119292.0,176.0345
2024-05-03,178.94,179.99,177.6,177.91,4506472.0,178.3847
2024-05-06,179.02,179.81,178.495,179.81,3114659.0,179.234
2024-05-07,179.69,179.77,178.25,178.52,3150389.0,179.0338
2024-05-08,176.96,178.12,176.83,177.85,2881630.0,177.6409
2024-05-09,177.93,179.5,177.53,179.06,2523025.0,178.8645
2024-05-10,179.21,179.35,177.73,178.1,2827364.0,178.2248
2024-05-13,178.87,179.28,177.25,177.87,4071405.0,178.0552
2024-05-14,177.58,178.965,177.5,178.68,3022302.0,178.3598
2024-05-15,179.48,179.61,177.79,178.95,3591450.0,178.6234
2024-05-16,178.85,179.12,177.725,177.79,3294786.0,178.4152
2024-05-17,177.95,178.73,177.43,178.7,2788668.0,178.2889
2024-05-20,178.28,178.78,176.9458,177.37,2001073.0,177.7551
2024-05-21,177.21,178.55,176.54,178.51,2187838.0,177.4228
2024-05-22,178.08,178.26,175.93,176.65,3166138.0,176.754
2024-05-23,177.13,177.13,173.525,173.79,3677277.0,174.4427
2024-05-24,174.98,176.09,174.49,175.54,2575073.0,175.5608
2024-05-28,174.9,175.48,174.17,175.11,2672109.0,174.9083
2024-05-29,173.8,174.635,173.8,173.96,2171995.0,174.2134
2024-05-30,174.47,175.48,174.13,174.99,2248342.0,174.8786
2024-05-31,175.11,176.01,173.21,175.97,3420217.0,174.4787
2024-06-03,176.09,176.67,174.25,175.89,3964491.0,175.6543
2024-06-04,175.15,176.785,175.09,176.07,2889964.0,175.8858
2024-06-05,176.48,177.1,174.89,177.1,2290989.0,176.4518
2024-06-06,177.25,178.46,177.17,178.39,2227829.0,177.9788
2024-06-07,177.38,178.74,177.325,177.66,2274317.0,178.0291
2024-06-10,177.14,178.41,177.14,178.23,1865622.0,177.9615
2024-06-11,178.15,178.15,176.19,177.76,2783038.0,177.0478
2024-06-12,179.32,180.77,178.78,179.61,3978771.0,179.9171
2024-06-13,180.83,181.18,179.11,179.75,2613494.0,179.8919
2024-06-14,179.48,179.48,177.26,178.33,3052793.0,178.0542
2024-06-17,178.1,181.91,177.77,181.46,3676631.0,180.7856
2024-06-18,181.31,181.53,180.24,180.85,2241988.0,180.7883
2024-06-20,180.67,181.52,180.13,181.08,2361421.0,180.8809
2024-06-21,182.0,182.85,181.14,182.61,4311603.0,181.9002
2024-06-24,182.64,183.44,181.37,181.44,2538955.0,182.164
2024-06-25,181.63,181.63,180.125,180.71,2356424.0,180.7213
2024-06-26,180.27,183.7,180.03,183.33,2515892.0,182.6984
2024-06-27,183.75,184.47,183.01,184.45,2114153.0,183.9792
2024-06-28,183.53,184.71,181.47,182.4,3957276.0,182.7737
2024-07-01,183.11,183.87,182.07,183.02,3196701.0,182.9788
2024-07-02,184.03,186.6,183.86,186.58,2942271.0,185.6722
2024-07-03,187.23,188.47,186.96,187.77,2189806.0,187.7408
2024-07-05,188.7,189.42,187.76,189.3,1998211.0,188.625
2024-07-08,189.06,190.22,188.87,189.39,1838522.0,189.413
2024-07-09,189.18,191.22,189.05,190.02,1828037.0,190.3152
2024-07-10,190.44,191.63,189.33,191.45,2279145.0,190.743
2024-07-11,192.35,193.66,188.45,189.02,4498409.0,190.268
2024-07-12,188.77,193.11,188.5,191.49,2726826.0,191.5975
2024-07-15,192.56,193.9,190.67,191.27,2540158.0,192.434
2024-07-16,192.38,194.79,192.07,194.7,2061656.0,193.7769
2024-07-17,193.26,193.75,191.11,191.45,2898572.0,191.9274
2024-07-18,191.85,193.075,188.94,189.5,2187575.0,190.6221
2024-07-19,188.79,189.56,187.05,187.81,1936098.0,187.9651
2024-07-22,189.17,190.535,188.44,189.88,2404245.0,189.6591
2024-07-23,190.61,190.91,188.94,189.03,2411827.0,189.9097
2024-07-24,184.84,184.92,181.21,181.3,4100479.0,182.6127
2024-07-25,181.27,183.76,180.04,180.59,5120411.0,181.6451
2024-07-26,181.92,183.57,181.46,182.61,2264705.0,182.3817
2024-07-29,183.84,186.34,183.74,185.66,3572998.0,185.3458
2024-07-30,186.08,186.33,182.9,184.63,2140514.0,184.7785
2024-07-31,186.84,189.06,186.43,187.49,2496875.0,187.6417
2024-08-01,187.57,188.13,181.32,182.89,3647850.0,183.8463
2024-08-02,176.93,176.93,174.05,176.16,6369369.0,175.828
2024-08-05,167.06,172.95,166.48,171.18,8195879.0,170.8816
2024-08-06,172.09,175.54,170.51,173.07,4761702.0,173.5007
2024-08-07,174.49,174.8,169.84,170.05,4202160.0,172.0338
2024-08-08,171.58,174.23,170.64,173.76,2967591.0,173.2069
2024-08-09,173.73,175.15,173.3,174.34,3189825.0,174.1544
2024-08-12,174.68,174.68,172.59,173.65,2464859.0,173.6255
2024-08-13,174.46,178.16,174.12,178.0,2923469.0,176.9532
2024-08-14,177.98,178.515,176.34,177.05,2389876.0,177.2289
2024-08-15,180.42,182.97,180.42,182.7,3144196.0,182.0775
2024-08-16,181.85,183.89,181.85,183.13,2383954.0,183.2507
2024-08-19,183.6,185.475,183.421,185.38,2285019.0,184.8422
2024-08-20,185.4,186.3,184.67,185.21,2339470.0,185.2557
2024-08-21,186.73,187.93,186.31,187.55,2266112.0,187.3019
2024-08-22,187.88,188.06,183.97,184.31,2854959.0,185.456
2024-08-23,185.75,188.08,185.72,187.87,3152083.0,187.2672
2024-08-26,187.69,188.09,185.83,186.41,1605453.0,186.763
2024-08-27,185.95,186.19,184.66,185.92,1664175.0,185.6835
2024-08-28,185.81,186.27,182.65,184.12,2834303.0,184.2077
2024-08-29,185.74,186.525,184.165,184.34,2307974.0,185.2787
2024-08-30,185.02,187.29,184.28,187.12,2336125.0,185.9463
2024-09-03,186.58,187.4511,183.7,184.55,4938302.0,185.363
2024-09-04,184.03,185.87,183.7905,185.03,5003766.0,184.8983
2024-09-05,185.9,188.41,185.72,187.13,3632123.0,186.9602
2024-09-06,187.49,188.17,182.32,182.4,3857063.0,183.8037
2024-09-09,184.31,185.78,183.82,185.06,2148829.0,184.9009
2024-09-10,185.78,187.3,184.67,187.18,4712294.0,186.1152
