timestamp,open,high,low,close,volume,vwap,date,year,month,day,weekday,is_month_start,is_month_end,high_low_range,average_price,volume_change,close_lag_1,close_lag_2,return,return_lag_1,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30,ma14,ma30,ma50,ma200,rsi14,rsi30,rsi50,roc14,vol14,up_day,down_day
2024-11-25 18:00:00,119.83,121.0,119.82,120.4697,1099063.0,120.3131,2024-11-25 18:00:00,2024,11,25,0,0,0,1.1800000000000068,120.27992499999999,0.2718825907885798,119.8303,120.275,0.005335879155772938,-0.003697360216171397,120.95714285714284,0.8486174085949291,121.71204666666667,0.6390389658187605,1.0076214777894952,1.010312523951389,1.006170132406738,1.0012793797942552,40.60146567188551,46.70820692319376,48.836943155258524,-0.014362831887368532,0.0032061511340112626,1,0
2024-11-25 19:00:00,120.46,120.7,120.13,120.18,718325.0,120.3407,2024-11-25 19:00:00,2024,11,25,0,0,0,0.5700000000000074,120.36749999999999,-0.34642054186156757,120.4697,119.8303,-0.002404754058489389,0.005335879155772938,120.71428571428571,0.781060988704296,121.64471333333334,0.690222562686472,1.0090994460689917,1.0121876629500195,1.0088185721417873,1.0036609793642868,38.2021733364596,45.273818636032495,47.883101286664015,-0.01313844637871564,0.003144996360424764,0,1
2024-11-25 20:00:00,120.186,120.59,119.61,119.98,3337169.0,120.212,2024-11-25 20:00:00,2024,11,25,0,0,0,0.980000000000004,120.09150000000001,3.6457648000556855,120.18,120.4697,-0.0016641704110501587,-0.002404754058489389,120.42142857142858,0.5579802705850546,121.57971333333333,0.7515258133359916,1.0097218584049723,1.0133331666388843,1.0106602433738958,1.0052919361560257,36.59440905020741,44.30218303513905,47.233224640901874,-0.014618922470433615,0.003142096468079725,0,1
2024-11-25 21:00:00,120.01,120.27,119.94,120.08,1515456.0,119.9707,2024-11-25 21:00:00,2024,11,25,0,0,0,0.3299999999999983,120.075,-0.5458857492683169,119.98,120.18,0.0008334722453742227,-0.0016641704110501587,120.2192857142857,0.30167245163745504,121.51904666666668,0.7968706812231002,1.007774578852194,1.0119840661781037,1.009980146568954,1.0044151940373085,37.99943593633951,44.91367861899043,47.59609893663873,-0.015253403313104763,0.0031067611422733294,1,0
2024-11-25 22:00:00,120.09,120.09,120.07,120.07,1366.0,120.0785,2024-11-25 22:00:00,2024,11,25,0,0,0,0.020000000000010232,120.08,-0.9990986211410955,120.08,119.98,-8.3277814790228e-05,0.0008334722453742227,120.12642857142858,0.20706355472711468,121.46097999999999,0.8372336642597878,1.0068352984568525,1.011584742233697,1.010178362621804,1.0044334679770135,37.90897027728246,44.86272628648103,47.562722783155664,-0.014122670169964824,0.0031179624146222182,0,1
2024-11-25 23:00:00,120.04,120.18,119.97,119.97,5073.0,120.0926,2024-11-25 23:00:00,2024,11,25,0,0,0,0.21000000000000796,120.04000000000002,2.713762811127379,120.07,120.08,-0.0008328475056216256,-8.3277814790228e-05,120.08285714285714,0.2026322765648644,121.39367333333333,0.8736752615993344,1.0067338263137213,1.0118669111722374,1.0110787363507543,1.0052023547553555,36.96133986299613,44.34233826591729,47.224806564050546,-0.012998765939942425,0.003105828500372603,0,1
2024-11-26 00:00:00,119.97,120.0,119.9,120.0,707.0,119.9428,2024-11-26 00:00:00,2024,11,26,1,0,0,0.09999999999999432,119.9675,-0.8606347328996649,119.97,120.07,0.0002500625156289793,-0.0008328475056216256,120.10710000000002,0.17574850397274022,121.34034,0.9087764937563737,1.0053630952380952,1.0111695,1.0107659666666666,1.0048918875000001,37.46636917646212,44.54197961828662,47.33933776752269,-0.015425008204791535,0.002949249924324848,1,0
2024-11-26 09:00:00,120.09,120.22,120.09,120.2,793.0,120.1335,2024-11-26 09:00:00,2024,11,26,1,0,0,0.12999999999999545,120.14999999999999,0.12164073550212162,120.0,119.97,0.0016666666666667052,0.0002500625156289793,120.06857142857143,0.09317162853056053,121.29333999999999,0.9305496253608465,1.0026028048490612,1.0090960066555739,1.009084159733777,1.0031828327787022,40.86754399118909,45.88075967928226,48.10546044645264,-0.014996312382201116,0.002977977876922462,1,0
2024-11-26 11:00:00,120.3,120.55,120.3,120.55,1769.0,120.4137,2024-11-26 11:00:00,2024,11,26,1,0,0,0.25,120.425,1.2307692307692308,120.2,120.0,0.002911813643926786,0.0016666666666667052,120.12142857142855,0.20489253857304146,121.25734000000001,0.9379377589914497,0.9989038336197194,1.0058676068021568,1.0061959021153049,1.0002411945250933,46.36528203156259,48.146870530402815,49.41949603489824,-0.01091237282573021,0.003161439675701992,1,0
2024-11-26 12:00:00,120.36,120.44,120.3,120.3,2550.0,120.3892,2024-11-26 12:00:00,2024,11,26,1,0,0,0.14000000000000057,120.35000000000001,0.44149236856981355,120.55,120.2,-0.0020738282870178537,0.002911813643926786,120.16714285714285,0.20377391762845815,121.20733999999999,0.9479398706471303,0.9999524997031233,1.007542310889443,1.008283591022444,1.0023306400665004,43.27065548348269,46.7018992271606,48.52395084142405,-0.014176841760222936,0.0031229930751428183,0,1
2024-11-26 13:00:00,120.2792,120.47,120.1,120.25,9360.0,120.3045,2024-11-26 13:00:00,2024,11,26,1,0,0,0.37000000000000455,120.2748,2.6705882352941175,120.3,120.55,-0.00041562759767244106,-0.0020738282870178537,120.19142857142857,0.20177781269521694,121.15534,0.9564894640894497,0.9996287496287496,1.0075288149688149,1.0087194677754678,1.002752814968815,42.65742371848411,46.41370145770426,48.345159651927226,-0.010247335281287295,0.0029700006956546047,0,1
2024-11-26 14:00:00,120.25,120.25,117.845,118.307857,2046089.0,118.6416,2024-11-26 14:00:00,2024,11,26,1,0,0,2.405000000000001,119.16321425000001,217.59925213675214,120.25,120.3,-0.016150877338877323,-0.00041562759767244106,119.93969385714286,0.7454070606363623,121.00010189999999,1.027914105519314,1.0145823300162196,1.022756264615629,1.024921558168364,1.0191399653617257,26.78097337452715,37.19150648868252,42.18449043543142,-0.01998130384360508,0.004912449521297332,0,1
2024-11-26 15:00:00,118.32,119.08,117.93,118.72,1691987.0,118.5737,2024-11-26 15:00:00,2024,11,26,1,0,0,1.1499999999999915,118.51249999999999,-0.17306285308214842,118.307857,120.25,0.0034836485965594743,-0.016150877338877323,119.76112242857143,0.8753390270275034,120.87076856666665,1.0631604195316227,1.0101245770360032,1.0181163120507637,1.021060252190027,1.0155093100151618,32.52057277656763,39.81665801587297,43.73701440815594,-0.012928705050925027,0.0050313665233694335,1,0
